Feature,Counts,ImportanceScore,Rank
prostaglandin_e2,30,0.011333,1.0
urea,29,0.011034,2.0
colour,30,0.010667,3.0
albumin,19,0.01,4.0
alanine_aminotransferase,30,0.01,4.0
lymphocytes_abs,26,0.01,4.0
haptoglobin,29,0.01,4.0
haematocrit,17,0.01,4.0
triglycerides,20,0.01,4.0
chloride,15,0.01,4.0
cholesterol,12,0.01,4.0
c-reactive_protein,9,0.01,4.0
thick_buffy_coat,14,0.01,4.0
alkaline_phosphatase,27,0.01,4.0
potassium,4,0.01,4.0
phosphate,14,0.01,4.0
monocytes_abs,5,0.01,4.0
aspartate_aminotransferase,2,0.01,4.0
magnesium,2,0.01,4.0
cortisol,7,0.01,4.0
lipase,21,0.01,4.0
lactate,3,0.01,4.0
calcium,5,0.01,4.0
total_protein,6,0.01,4.0
glutamate_dehydrogenase,14,0.01,4.0
globulin,4,0.01,4.0
white_blood_cell_count,9,0.01,4.0
creatinine,28,0.01,4.0
haemoglobin,13,0.01,4.0
lymphocytes,12,0.01,4.0
temperature_celsius,12,0.01,4.0
glucose,14,0.01,4.0
neutrophils,12,0.01,4.0
neutrophils_abs,11,0.01,4.0
sodium,13,0.01,4.0
creatine_phosphokinase,7,0.01,4.0
leucocyte_appearance,0,0.0,5.0
thrombocyte_appearance,0,0.0,5.0
monocytes,0,0.0,5.0
erythrocyte_appearance,0,0.0,5.0
bilirubin,0,0.0,5.0
satiation_ration,0,0.0,5.0
