Feature,Counts,ImportanceScore,Rank
appearance-faecal-score,30,0.075333,1.0
general_health-liver-index,30,0.028333,2.0
general_health-heart-index,30,0.028,3.0
satiation_ration,30,0.022,4.0
nephrocalcinosis-kidney-score,30,0.022,4.0
temperature_celsius,30,0.020333,5.0
fluid-swim_bladder-logical,30,0.01,6.0
normal-kidney-logical,27,0.01,6.0
compression_or_reduction-spine-score,20,0.01,6.0
lks-spine-score,30,0.01,6.0
fusion-spine-score,26,0.01,6.0
deformity-spine-logical,30,0.01,6.0
deformity-spine-score,28,0.01,6.0
general_health-gonad-index,5,0.01,6.0
normal-stomach-logical,0,0.0,7.0
visceral_fat-viscera-score,0,0.0,7.0
vertical_shift-spine-score,0,0.0,7.0
fluid-swim_bladder-mL,0,0.0,7.0
